epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.4264,2.30375,4.04296,2.09027,0.15222,0.4,0.21417,0.09358,2.39399,4.11062,2.02311,3.334e-05,3.334e-05,3.334e-05
2,29.5565,2.21574,3.82571,2.11529,0.12022,0.4,0.20659,0.09065,2.38898,4.12712,2.01462,8.19747e-05,8.19747e-05,8.19747e-05
3,31.0228,2.01586,3.30891,1.80014,0.81265,0.72187,0.8325,0.41636,1.75917,3.0021,1.4752,0.000128959,0.000128959,0.000128959
4,32.9378,1.38687,2.12817,1.30047,0.92713,0.86713,0.97833,0.64109,1.23898,2.45358,1.1602,0.000174293,0.000174293,0.000174293
5,34.5,1.33567,1.84835,1.26498,0.92291,0.88959,0.90158,0.51369,1.36563,2.0362,1.22349,0.000217977,0.000217977,0.000217977
6,36.3996,1.28611,1.32786,1.19934,0.88056,0.75543,0.91389,0.48347,1.71433,2.09371,1.60821,0.00026001,0.00026001,0.00026001
7,38.3427,1.27373,1.29739,1.21159,0.86246,0.99154,0.995,0.61886,1.30059,1.71598,1.14605,0.000300393,0.000300393,0.000300393
8,39.8083,1.30994,1.18574,1.27069,0.97153,0.82836,0.995,0.62379,1.35154,1.58504,1.20115,0.000339126,0.000339126,0.000339126
9,41.4283,1.27943,1.05682,1.19228,0.78467,0.85316,0.905,0.4661,1.57093,1.77538,1.28976,0.000376209,0.000376209,0.000376209
10,42.7857,1.26671,1.07975,1.17665,0.90528,0.94076,0.96167,0.57751,1.45373,1.58302,1.29861,0.000411641,0.000411641,0.000411641
11,44.2328,1.23207,0.99559,1.20629,0.90433,0.99273,0.92833,0.54383,1.51456,1.72204,1.38916,0.000445422,0.000445422,0.000445422
